posicao,score,compatibilidade,nivel,titulo,empresa,localizacao,fonte,link,matches
54,2,MINIMA,nao_informado,Information Technology Specialist,US Navy,São Francisco e Região,LinkedIn,https://www.linkedin.com/jobs/view/information-technology-specialist-at-us-navy-4413809938?position=30&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=%2B%2BRQ1%2FKZlfXnwhYdTlC%2BNQ%3D%3D,area:TI
55,2,MINIMA,estagiario,Techzone Technician Trainee,Associated Students UCLA,"Los Angeles, Califórnia, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/techzone-technician-trainee-at-associated-students-ucla-4377062657?position=34&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=0%2BPqpbKilw15AdTx0KA4bw%3D%3D,nivel:estagiario
56,2,MINIMA,nao_informado,Software Engineering Apprentice,Allied Benefit Systems,"Chicago, Ilinóis, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/software-engineering-apprentice-at-allied-benefit-systems-4406683530?position=36&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=qP44B8FYhbi5kgYCynsK9A%3D%3D,area:TI
57,2,MINIMA,nao_informado,Work Based Learning Program Data Center Operations Technician,Amazon Web Services (AWS),"Óregon, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/work-based-learning-program-data-center-operations-technician-at-amazon-web-services-aws-4424931438?position=37&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=KHrwnZZ309Oid6dAXRmvTg%3D%3D,area:TI
58,2,MINIMA,nao_informado,Data Center Technician- Part Time,Microsoft,Estados Unidos,LinkedIn,https://www.linkedin.com/jobs/view/data-center-technician-part-time-at-microsoft-4417719476?position=39&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=SraGf016wIHNLnUXjBUDqQ%3D%3D,area:TI
59,2,MINIMA,nao_informado,Student Technical Support Specialist (Part-Time),A Igreja de Jesus Cristo dos Santos dos Últimos Dias,"Salt Lake City, Utah, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/student-technical-support-specialist-part-time-at-a-igreja-de-jesus-cristo-dos-santos-dos-%C3%BAltimos-dias-4424121725?position=40&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=Ozc2sJlVqkTOQY%2Fo2CXqXg%3D%3D,area:TI
60,2,MINIMA,nao_informado,Information Technology Intern,ServiceSource,"Oakton, Virgínia, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/information-technology-intern-at-servicesource-4407212152?position=48&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=5do3D8051C%2FzLBXa28NdGg%3D%3D,area:TI
61,2,MINIMA,estagiario,Programa Jovem Aprendiz - Rio Verde I GO,MBRF,"Rio Verde, Arizona, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/programa-jovem-aprendiz-rio-verde-i-go-at-mbrf-4377480283?position=51&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=jsJxbN6pMnwkXZi4sYbTEA%3D%3D,nivel:estagiario
62,2,MINIMA,nao_informado,Accelerated Software Engineer Apprenticeship - Bletchley Fellowship,Flatiron School,Estados Unidos,LinkedIn,https://www.linkedin.com/jobs/view/accelerated-software-engineer-apprenticeship-bletchley-fellowship-at-flatiron-school-4421179454?position=52&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=GQJbz%2FvNuHbdLnCpoSK3yw%3D%3D,area:TI
63,2,MINIMA,pleno,Application Developer (Current students and those seeking entry level role) (Part Time),Loudoun County Public Schools,"Leesburg, Virgínia, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/application-developer-current-students-and-those-seeking-entry-level-role-part-time-at-loudoun-county-public-schools-4416830947?position=53&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=V%2F9lLbEXZfgGPp1nzP3zOw%3D%3D,area:TI
64,2,MINIMA,nao_informado,Work Based Learning Program Data Center Operations Technician,Amazon Web Services (AWS),"Umatilla, Óregon, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/work-based-learning-program-data-center-operations-technician-at-amazon-web-services-aws-4372990454?position=55&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=HCtw6sTrb5faXgBsThZDZQ%3D%3D,area:TI
